Nombre de cuenta,N£mero de cuenta,Nombre del banco,Moneda,Ubicaci¢n,BIC,IBAN,Estatus de cuenta,Tipo de cuenta,Saldo en libros al cierre,Saldo en libros final al cierre del ejercicio anterior de,Saldo disponible al cierre,Saldo final disponible del ejercicio anterior de,Saldo actual en libros,Saldo actual en libros al,Saldo actual disponible,Saldo actual disponible al,Referencia del banco,Descripci¢n,Referencia de cliente,Tipo de TRN,Importe de crÇdito,Importe del dÇbito,Saldo,Fecha del apunte,Hora de cargo o abono,Fecha valor
"TERMINAL LAS TORRES PUEBLA, S.A. DE",4062190764,HSBC Mexico,MXN,MêXICO,BIMEMXMM,No disponible,Activo,Cuenta de cheques,"1,344,288.07",07/09/2021,"1,344,288.07",07/09/2021,"1,344,288.07",08/09/2021 00:00,"1,344,288.07",08/09/2021 00:00,5211,TRANSFERENCIA INTERBANCARIA 0070921 SPEI,0000077385,CRêDITO,348.00,,"1,200,914.57",07/09/2021,08:14,07/09/2021
"TERMINAL LAS TORRES PUEBLA, S.A. DE",4062190764,HSBC Mexico,MXN,MêXICO,BIMEMXMM,No disponible,Activo,Cuenta de cheques,"1,344,288.07",07/09/2021,"1,344,288.07",07/09/2021,"1,344,288.07",08/09/2021 00:00,"1,344,288.07",08/09/2021 00:00,5549,05092021CHALCOM8,7800002928,CRêDITO,"6,000.00",,"1,206,914.57",07/09/2021,08:49,07/09/2021
"TERMINAL LAS TORRES PUEBLA, S.A. DE",4062190764,HSBC Mexico,MXN,MêXICO,BIMEMXMM,No disponible,Activo,Cuenta de cheques,"1,344,288.07",07/09/2021,"1,344,288.07",07/09/2021,"1,344,288.07",08/09/2021 00:00,"1,344,288.07",08/09/2021 00:00,5549,03092021CHALCOT2,7800002929,CRêDITO,"25,048.50",,"1,231,963.07",07/09/2021,08:49,07/09/2021
"TERMINAL LAS TORRES PUEBLA, S.A. DE",4062190764,HSBC Mexico,MXN,MêXICO,BIMEMXMM,No disponible,Activo,Cuenta de cheques,"1,344,288.07",07/09/2021,"1,344,288.07",07/09/2021,"1,344,288.07",08/09/2021 00:00,"1,344,288.07",08/09/2021 00:00,5549,04092021CHALCOT1,7800002930,CRêDITO,"30,837.00",,"1,262,800.07",07/09/2021,08:49,07/09/2021
"TERMINAL LAS TORRES PUEBLA, S.A. DE",4062190764,HSBC Mexico,MXN,MêXICO,BIMEMXMM,No disponible,Activo,Cuenta de cheques,"1,344,288.07",07/09/2021,"1,344,288.07",07/09/2021,"1,344,288.07",08/09/2021 00:00,"1,344,288.07",08/09/2021 00:00,5549,05092021CHALCOT0,7800002931,CRêDITO,"34,982.00",,"1,297,782.07",07/09/2021,08:49,07/09/2021
"TERMINAL LAS TORRES PUEBLA, S.A. DE",4062190764,HSBC Mexico,MXN,MêXICO,BIMEMXMM,No disponible,Activo,Cuenta de cheques,"1,344,288.07",07/09/2021,"1,344,288.07",07/09/2021,"1,344,288.07",08/09/2021 00:00,"1,344,288.07",08/09/2021 00:00,5549,05092021PDESTT1,8000001335,CRêDITO,"9,530.00",,"1,307,312.07",07/09/2021,11:23,07/09/2021
"TERMINAL LAS TORRES PUEBLA, S.A. DE",4062190764,HSBC Mexico,MXN,MêXICO,BIMEMXMM,No disponible,Activo,Cuenta de cheques,"1,344,288.07",07/09/2021,"1,344,288.07",07/09/2021,"1,344,288.07",08/09/2021 00:00,"1,344,288.07",08/09/2021 00:00,5549,05092021DRIVER7,8000001336,CRêDITO,"14,061.00",,"1,321,373.07",07/09/2021,11:23,07/09/2021
"TERMINAL LAS TORRES PUEBLA, S.A. DE",4062190764,HSBC Mexico,MXN,MêXICO,BIMEMXMM,No disponible,Activo,Cuenta de cheques,"1,344,288.07",07/09/2021,"1,344,288.07",07/09/2021,"1,344,288.07",08/09/2021 00:00,"1,344,288.07",08/09/2021 00:00,5549,04092021PDESTT4,8000001337,CRêDITO,"11,152.00",,"1,332,525.07",07/09/2021,11:23,07/09/2021
"TERMINAL LAS TORRES PUEBLA, S.A. DE",4062190764,HSBC Mexico,MXN,MêXICO,BIMEMXMM,No disponible,Activo,Cuenta de cheques,"1,344,288.07",07/09/2021,"1,344,288.07",07/09/2021,"1,344,288.07",08/09/2021 00:00,"1,344,288.07",08/09/2021 00:00,5549,04092021DRIVER0,8000001339,CRêDITO,"11,763.00",,"1,344,288.07",07/09/2021,11:23,07/09/2021
