"REFERENCE_PAYMENT","METODO_RECIBO","AFILIACION","FECHA_DEPOSITO","IMPORTE_TMS","IMPORTE_BANCO","DIFERENCIA","TOLERANCIA","TABLA_PUENTE_IDS","NUMEROS_DOCUMENTOS"
"AFIL.-008139649-22112021","SANTANDER_3550",8139649,22/11/21,238209,239383.5,-1174.5,"10","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1821277ERP04AERTF_1044,1821277ERP4MSERTF_209,1921277ERP04AERTF_61694,1921277ERP04PERTF_3170,1921277ERP04SERTF_684,1921277ERP4MSERTF_314,1921277ERT04GTTP1TF_19934,1921277ERT04TCTTF_1418,1921277ERT4MSTTP1TF_453,2021277ERP04AERTF_48806,2021277ERP04PERTF_2171,2021277ERP4MSERTF_1011,2021277ERT04GTTP1TF_15427,2021277ERT04TCTTF_11806,2121277ERP04AERTF_51878,2121277ERP04PERTF_2352,2121277ERP4MSERTF_645,2121277ERT04GTTP1TF_10598,2121277ERT04TCTTF_4595"
"AFIL.-009181868-22112021","SANTANDER_3550",9181868,22/11/21,352588,352802,-214,"10","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","182118ERP04SERTF_428,182118ERT04ITPTF_498,192118ERP04PERTF_55321,192118ERP04SERTF_38210,192118ERP4MSERTF_929,192118ERT04ITPTF_3764,192120ERP04PERTF_2166,192120ERP04SERTF_10319,192120ERT04ITPTF_422,192125ERP04PERTF_17824,202118ERP04PERTF_60119,202118ERP04SERTF_56519,202118ERP4MSERTF_674,202118ERT04ITPTF_5475,202120ERP04PERTF_4446,202120ERP04SERTF_9006.5,202120ERT04ITPTF_1850,202125ERP04PERTF_14164,212118ERP04PERTF_28788,212118ERP04SERTF_20160.5,212118ERP4MSERTF_152.5,212118ERT04ITPTF_4171,212120ERP04PERTF_2622,212120ERP04SERTF_7087,212120ERT04ITPTF_573,212125ERP04PERTF_6899.5"
"AFIL.-009270083-22112021","SANTANDER_3550",9270083,22/11/21,329233,330661,-1428,"10","0,0,0,0,0,0,0","182119ERP04AERTF_8526,192119ERP04AERTF_145191,192119ERP4MSERTF_592,202119ERP04AERTF_99666,202119ERP4MSERTF_698,212119ERP04AERTF_74107,212119ERP4MSERTF_453"
"AFIL.-005256409-23112021","SANTANDER_3550",5256409,23/11/21,5660,5660,0,"1000","0,0,0","222115ERP04AERTF_2956,222115ERP04PERTF_686,222115ERT04GTTP1TF_2018"
"AFIL.-007273370-23112021","SANTANDER_3550",7273370,23/11/21,19818,19818,0,"10","0,0,0,0,0,0,0,0,0,0,0,0","2221156ERP04AERTF_1044,2221156ERP04PERTF_732,2221156ERP04SERTF_1484,2221156ERT04ITPTF_696,222117ERP04SERTF_3311,222117ERT04BTPTF_668,222117ERT04ITPTF_170,222117ERT04MTPTF_60,222123ERP04SERTF_1650,222123ERT04ITPTF_1469,2221294ERT04GTTP1TF_5770,222191ERT04GTTP1TF_2764"
"AFIL.-008139649-23112021","SANTANDER_3550",8139649,23/11/21,110332,110332,0,"10","0,0,0,0,0,0,0,0,0,0","2121277ERP04AERTF_4693,2121277ERP04PERTF_1561,2121277ERP4MSERTF_80,2121277ERT04GTTP1TF_661,2221277ERP04AERTF_80508,2221277ERP04PERTF_2416,2221277ERP4MSERTF_1532,2221277ERT04GTTP1TF_9368,2221277ERT04TCTTF_9269,2221277ERT4MSTTP1TF_244"
"AFIL.-008180414-23112021","SANTANDER_3550",8180414,23/11/21,4140,4140,0,"10","0","2221279ERP04PERTF_4140"
"AFIL.-008376766-23112021","SANTANDER_3550",8376766,23/11/21,2658,2658,0,"10","0","2221292ERT04ITPTF_2658"
"AFIL.-009180159-23112021","SANTANDER_3550",9180159,23/11/21,99914,99914,0,"1000","0,0,0,0,0,0,0,0","212115ERP04PERTF_2739,212115ERP04SERTF_2814,222115ERP04AERTF_4897,222115ERP04PERTF_58192.5,222115ERP04SERTF_29384.5,222115ERP4MSERTF_226,222115ERT04BTPTF_740,222115ERT04ITPTF_921"
"AFIL.-009181868-23112021","SANTANDER_3550",9181868,23/11/21,86406.5,86406.5,0,"10","0,0,0,0,0,0,0,0,0,0","212118ERP04PERTF_1854,212118ERP04SERTF_1799.5,222118ERP04PERTF_33450,222118ERP04SERTF_28083,222118ERP4MSERTF_24,222118ERT04ITPTF_2390,222120ERP04PERTF_2396,222120ERP04SERTF_7064,222120ERT04ITPTF_1524,222125ERP04PERTF_7822"
"AFIL.-009270083-23112021","SANTANDER_3550",9270083,23/11/21,121921,121921,0,"10","0,0,0,0","212119ERP04AERTF_8700,212119ERP4MSERTF_174,222119ERP04AERTF_112977,222119ERP4MSERTF_70"
