NO SE ENCUENTRA EN TMS,,N.PAGO,,,,,,,
PAGO: , 13/09/21,2520025031,,,,,,,
NO OPERACIÓN NO ENCONTRADA  :,378619271,,,,,,,,
,,,,,,,,,
,,,,,,,,,
DATOS PAGO BANCO,,,,,,,,,
NUM_PAGO,NUM_ESTABLECIMIENTO,REFERENCIA_FACTURA,FECHA_PAGO,FECHA_TRANSACCION,MONTO_PAGO,MONTO_PAGO_NETO,MONTO_TRASACCION,MONEDA,
2520025031,9350060670,378554378,13/09/2021,09/09/2021,1103,1035.97,338,MXN,
2520025031,9350060670,378619271,13/09/2021,09/09/2021,1103,1035.97,89,MXN,No encontrado en TMS
2520025031,9350060670,378757044,13/09/2021,09/09/2021,1103,1035.97,169,MXN,
2520025031,9350060670,378773349,13/09/2021,09/09/2021,1103,1035.97,169,MXN,
2520025031,9350060670,378747177,13/09/2021,09/09/2021,1103,1035.97,169,MXN,
2520025031,9350060670,378705941,13/09/2021,09/09/2021,1103,1035.97,169,MXN,
